Algorithm: SSSP
Source: 0
Vertex	Distance
0	0
1	1
2	INF
3	INF
4	INF
5	INF
6	INF
7	INF
8	INF
9	INF
10	INF
11	INF
12	INF
13	INF
14	INF
15	INF
16	INF
17	INF
18	INF
19	INF
20	INF
21	INF
22	INF
23	INF
24	INF
25	INF
26	INF
27	INF
28	INF
29	INF
30	INF
31	INF
32	INF
33	INF
34	INF
35	INF
36	INF
37	INF
38	INF
39	INF
40	INF
41	INF
42	INF
43	INF
44	INF
45	INF
46	INF
47	INF
48	INF
49	INF
50	INF
51	INF
52	INF
53	INF
54	INF
55	INF
56	INF
57	INF
58	INF
59	INF
60	INF
61	INF
62	INF
63	INF
64	INF
65	INF
66	INF
67	INF
68	INF
69	INF
70	INF
71	INF
72	INF
73	INF
74	INF
75	INF
76	INF
77	INF
78	INF
79	INF
80	INF
81	INF
82	INF
83	INF
84	INF
85	INF
86	INF
87	INF
88	INF
89	INF
90	INF
91	INF
92	INF
93	INF
94	INF
95	INF
96	INF
97	INF
98	INF
99	INF
100	INF
101	INF
102	INF
103	INF
104	INF
105	INF
106	INF
107	INF
108	INF
109	INF
110	INF
111	INF
112	INF
113	INF
114	INF
115	INF
116	INF
117	INF
118	INF
119	INF
120	INF
121	INF
122	INF
123	INF
124	INF
125	INF
126	INF
127	INF
128	INF
129	INF
130	INF
131	INF
132	INF
133	INF
134	INF
135	INF
136	INF
137	INF
138	INF
139	INF
140	INF
141	INF
142	INF
143	INF
144	INF
145	INF
146	INF
147	INF
148	INF
149	INF
150	INF
151	INF
152	INF
153	INF
154	INF
155	INF
156	INF
157	INF
158	INF
159	INF
160	INF
161	INF
162	INF
163	INF
164	INF
165	INF
166	INF
167	INF
168	INF
169	INF
170	INF
171	INF
172	INF
173	INF
174	INF
175	INF
176	INF
177	INF
178	INF
179	INF
180	INF
181	INF
182	INF
183	INF
184	INF
185	INF
186	INF
187	INF
188	INF
189	INF
190	INF
191	INF
192	INF
193	INF
194	INF
195	INF
196	INF
197	INF
198	INF
199	INF
200	INF
201	INF
202	INF
203	INF
204	INF
205	INF
206	INF
207	INF
208	INF
209	INF
210	INF
211	INF
212	INF
213	INF
214	INF
215	INF
216	INF
217	INF
218	INF
219	INF
220	INF
221	INF
222	INF
223	INF
224	INF
225	INF
226	INF
227	INF
228	INF
229	INF
230	INF
231	INF
232	INF
233	INF
234	INF
235	INF
236	INF
237	INF
238	INF
239	INF
240	INF
241	INF
242	INF
243	INF
244	INF
245	INF
246	INF
247	INF
248	INF
249	INF
250	INF
251	INF
252	INF
253	INF
254	INF
255	INF
256	INF
257	INF
258	INF
259	INF
260	INF
261	INF
262	INF
263	INF
264	INF
265	INF
266	INF
267	INF
268	INF
269	INF
270	INF
271	INF
272	INF
273	INF
274	INF
275	INF
276	INF
277	INF
278	INF
279	INF
280	INF
281	INF
282	INF
283	INF
284	INF
285	INF
286	INF
287	INF
288	INF
289	INF
290	INF
291	INF
292	INF
293	INF
294	INF
295	INF
296	INF
297	INF
298	INF
299	INF
300	INF
301	INF
302	INF
303	INF
304	INF
305	INF
306	INF
307	INF
308	INF
309	INF
310	INF
311	INF
312	INF
313	INF
314	INF
315	INF
316	INF
317	INF
318	INF
319	INF
320	INF
321	INF
322	INF
323	INF
324	INF
325	INF
326	INF
327	INF
328	INF
329	INF
330	INF
331	INF
332	INF
333	INF
334	INF
335	INF
336	INF
337	INF
338	INF
339	INF
340	INF
341	INF
342	INF
343	INF
344	INF
345	INF
346	INF
347	INF
348	INF
349	INF
350	INF
351	INF
352	INF
353	INF
354	INF
355	INF
356	INF
357	INF
358	INF
359	INF
360	INF
361	INF
362	INF
363	INF
364	INF
365	INF
366	INF
367	INF
368	INF
369	INF
370	INF
371	INF
372	INF
373	INF
374	INF
375	INF
376	INF
377	INF
378	INF
379	INF
380	INF
381	INF
382	INF
383	INF
384	INF
385	INF
386	INF
387	INF
388	INF
389	INF
390	INF
391	INF
392	INF
393	INF
394	INF
395	INF
396	INF
397	INF
398	INF
399	INF
400	INF
401	INF
402	INF
403	INF
404	INF
405	INF
406	INF
407	INF
408	INF
409	INF
410	INF
411	INF
412	INF
413	INF
414	INF
415	INF
416	INF
417	INF
418	INF
419	INF
420	INF
421	INF
422	INF
423	INF
424	INF
425	INF
426	INF
427	INF
428	INF
429	INF
430	INF
431	INF
432	INF
433	INF
434	INF
435	INF
436	INF
437	INF
438	INF
439	INF
440	INF
441	INF
442	INF
443	INF
444	INF
445	INF
446	INF
447	INF
448	INF
449	INF
450	INF
451	INF
452	INF
453	INF
454	INF
455	INF
456	INF
457	INF
458	INF
459	INF
460	INF
461	INF
462	INF
463	INF
464	INF
465	INF
466	INF
467	INF
468	INF
469	INF
470	INF
471	INF
472	INF
473	INF
474	INF
475	INF
476	INF
477	INF
478	INF
479	INF
480	INF
481	INF
482	INF
483	INF
484	INF
485	INF
486	INF
487	INF
488	INF
489	INF
490	INF
491	INF
492	INF
493	INF
494	INF
495	INF
496	INF
497	INF
498	INF
499	INF
500	INF
501	INF
502	INF
503	INF
504	INF
505	INF
506	INF
507	INF
508	INF
509	INF
510	INF
511	INF
512	INF
513	INF
514	INF
515	INF
516	INF
517	INF
518	INF
519	INF
520	INF
521	INF
522	INF
523	INF
524	INF
525	INF
526	INF
527	INF
528	INF
529	INF
530	INF
531	INF
532	INF
533	INF
534	INF
535	INF
536	INF
537	INF
538	INF
539	INF
540	INF
541	INF
542	INF
543	INF
544	INF
545	INF
546	INF
547	INF
548	INF
549	INF
550	INF
551	INF
552	INF
553	INF
554	INF
555	INF
556	INF
557	INF
558	INF
559	INF
560	INF
561	INF
562	INF
563	INF
564	INF
565	INF
566	INF
567	INF
568	INF
569	INF
570	INF
571	INF
572	INF
573	INF
574	INF
575	INF
576	INF
577	INF
578	INF
579	INF
580	INF
581	INF
582	INF
583	INF
584	INF
585	INF
586	INF
587	INF
588	INF
589	INF
590	INF
591	INF
592	INF
593	INF
594	INF
595	INF
596	INF
597	INF
598	INF
599	INF
600	INF
601	INF
602	INF
603	INF
604	INF
605	INF
606	INF
607	INF
608	INF
609	INF
610	INF
611	INF
612	INF
613	INF
614	INF
615	INF
616	INF
617	INF
618	INF
619	INF
620	INF
621	INF
622	INF
623	INF
624	INF
625	INF
626	INF
627	INF
628	INF
629	INF
630	INF
631	INF
632	INF
633	INF
634	INF
635	INF
636	INF
637	INF
638	INF
639	INF
640	INF
641	INF
642	INF
643	INF
644	INF
645	INF
646	INF
647	INF
648	INF
649	INF
650	INF
651	INF
652	INF
653	INF
654	INF
655	INF
656	INF
657	INF
658	INF
659	INF
660	INF
661	INF
662	INF
663	INF
664	INF
665	INF
666	INF
667	INF
668	INF
669	INF
670	INF
671	INF
672	INF
673	INF
674	INF
675	INF
676	INF
677	INF
678	INF
679	INF
680	INF
681	INF
682	INF
683	INF
684	INF
685	INF
686	INF
687	INF
688	INF
689	INF
690	INF
691	INF
692	INF
693	INF
694	INF
695	INF
696	INF
697	INF
698	INF
699	INF
700	INF
701	INF
702	INF
703	INF
704	INF
705	INF
706	INF
707	INF
708	INF
709	INF
710	INF
711	INF
712	INF
713	INF
714	INF
715	INF
716	INF
717	INF
718	INF
719	INF
720	INF
721	INF
722	INF
723	INF
724	INF
725	INF
726	INF
727	INF
728	INF
729	INF
730	INF
731	INF
732	INF
733	INF
734	INF
735	INF
736	INF
737	INF
738	INF
739	INF
740	INF
741	INF
742	INF
743	INF
744	INF
745	INF
746	INF
747	INF
748	INF
749	INF
750	INF
751	INF
752	INF
753	INF
754	INF
755	INF
756	INF
757	INF
758	INF
759	INF
760	INF
761	INF
762	INF
763	INF
764	INF
765	INF
766	INF
767	INF
768	INF
769	INF
770	INF
771	INF
772	INF
773	INF
774	INF
775	INF
776	INF
777	INF
778	INF
779	INF
780	INF
781	INF
782	INF
783	INF
784	INF
785	INF
786	INF
787	INF
788	INF
789	INF
790	INF
791	INF
792	INF
793	INF
794	INF
795	INF
796	INF
797	INF
798	INF
799	INF
800	INF
801	INF
802	INF
803	INF
804	INF
805	INF
806	INF
807	INF
808	INF
809	INF
810	INF
811	INF
812	INF
813	INF
814	INF
815	INF
816	INF
817	INF
818	INF
819	INF
820	INF
821	INF
822	INF
823	INF
824	INF
825	INF
826	INF
827	INF
828	INF
829	INF
830	INF
831	INF
832	INF
833	INF
834	INF
835	INF
836	INF
837	INF
838	INF
839	INF
840	INF
841	INF
842	INF
843	INF
844	INF
845	INF
846	INF
847	INF
848	INF
849	INF
850	INF
851	INF
852	INF
853	INF
854	INF
855	INF
856	INF
