Algorithm: Connected Components
Number of components: 20
Vertex Component
0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 1
12 2
13 0
14 3
15 0
16 0
17 4
18 2
19 5
20 0
21 0
22 0
23 6
24 7
25 8
26 0
27 0
28 0
29 0
30 0
31 0
32 0
33 9
34 0
35 0
36 0
37 5
38 0
39 0
40 0
41 0
42 0
43 0
44 0
45 0
46 0
47 0
48 0
49 10
50 0
51 10
52 11
53 0
54 0
55 0
56 0
57 0
58 0
59 12
60 0
61 0
62 13
63 0
64 0
65 14
66 15
67 0
68 10
69 0
70 0
71 16
72 0
73 17
74 0
75 18
76 0
77 10
78 0
79 0
80 0
81 0
82 0
83 0
84 0
85 0
86 0
87 0
88 0
89 0
90 0
91 0
92 0
93 0
94 0
95 5
96 0
97 0
98 10
99 19
Execution time: 0.0000 ms
