Algorithm: FastMap
Target dimensions: 3
Pivots per dimension:
Dim 1: 999 0
Dim 2: 0 0
Dim 3: 0 0
Object coordinates:
0: 999 0 0
1: 998 0 0
2: 997 0 0
3: 996 0 0
4: 995 0 0
5: 994 0 0
6: 993 0 0
7: 992 0 0
8: 991 0 0
9: 990 0 0
10: 989 0 0
11: 988 0 0
12: 987 0 0
13: 986 0 0
14: 985 0 0
15: 984 0 0
16: 983 0 0
17: 982 0 0
18: 981 0 0
19: 980 0 0
20: 979 0 0
21: 978 0 0
22: 977 0 0
23: 976 0 0
24: 975 0 0
25: 974 0 0
26: 973 0 0
27: 972 0 0
28: 971 0 0
29: 970 0 0
30: 969 0 0
31: 968 0 0
32: 967 0 0
33: 966 0 0
34: 965 0 0
35: 964 0 0
36: 963 0 0
37: 962 0 0
38: 961 0 0
39: 960 0 0
40: 959 0 0
41: 958 0 0
42: 957 0 0
43: 956 0 0
44: 955 0 0
45: 954 0 0
46: 953 0 0
47: 952 0 0
48: 951 0 0
49: 950 0 0
50: 949 0 0
51: 948 0 0
52: 947 0 0
53: 946 0 0
54: 945 0 0
55: 944 0 0
56: 943 0 0
57: 942 0 0
58: 941 0 0
59: 940 0 0
60: 939 0 0
61: 938 0 0
62: 937 0 0
63: 936 0 0
64: 935 0 0
65: 934 0 0
66: 933 0 0
67: 932 0 0
68: 931 0 0
69: 930 0 0
70: 929 0 0
71: 928 0 0
72: 927 0 0
73: 926 0 0
74: 925 0 0
75: 924 0 0
76: 923 0 0
77: 922 0 0
78: 921 0 0
79: 920 0 0
80: 919 0 0
81: 918 0 0
82: 917 0 0
83: 916 0 0
84: 915 0 0
85: 914 0 0
86: 913 0 0
87: 912 0 0
88: 911 0 0
89: 910 0 0
90: 909 0 0
91: 908 0 0
92: 907 0 0
93: 906 0 0
94: 905 0 0
95: 904 0 0
96: 903 0 0
97: 902 0 0
98: 901 0 0
99: 900 0 0
100: 899 0 0
101: 898 0 0
102: 897 0 0
103: 896 0 0
104: 895 0 0
105: 894 0 0
106: 893 0 0
107: 892 0 0
108: 891 0 0
109: 890 0 0
110: 889 0 0
111: 888 0 0
112: 887 0 0
113: 886 0 0
114: 885 0 0
115: 884 0 0
116: 883 0 0
117: 882 0 0
118: 881 0 0
119: 880 0 0
120: 879 0 0
121: 878 0 0
122: 877 0 0
123: 876 0 0
124: 875 0 0
125: 874 0 0
126: 873 0 0
127: 872 0 0
128: 871 0 0
129: 870 0 0
130: 869 0 0
131: 868 0 0
132: 867 0 0
133: 866 0 0
134: 865 0 0
135: 864 0 0
136: 863 0 0
137: 862 0 0
138: 861 0 0
139: 860 0 0
140: 859 0 0
141: 858 0 0
142: 857 0 0
143: 856 0 0
144: 855 0 0
145: 854 0 0
146: 853 0 0
147: 852 0 0
148: 851 0 0
149: 850 0 0
150: 849 0 0
151: 848 0 0
152: 847 0 0
153: 846 0 0
154: 845 0 0
155: 844 0 0
156: 843 0 0
157: 842 0 0
158: 841 0 0
159: 840 0 0
160: 839 0 0
161: 838 0 0
162: 837 0 0
163: 836 0 0
164: 835 0 0
165: 834 0 0
166: 833 0 0
167: 832 0 0
168: 831 0 0
169: 830 0 0
170: 829 0 0
171: 828 0 0
172: 827 0 0
173: 826 0 0
174: 825 0 0
175: 824 0 0
176: 823 0 0
177: 822 0 0
178: 821 0 0
179: 820 0 0
180: 819 0 0
181: 818 0 0
182: 817 0 0
183: 816 0 0
184: 815 0 0
185: 814 0 0
186: 813 0 0
187: 812 0 0
188: 811 0 0
189: 810 0 0
190: 809 0 0
191: 808 0 0
192: 807 0 0
193: 806 0 0
194: 805 0 0
195: 804 0 0
196: 803 0 0
197: 802 0 0
198: 801 0 0
199: 800 0 0
200: 799 0 0
201: 798 0 0
202: 797 0 0
203: 796 0 0
204: 795 0 0
205: 794 0 0
206: 793 0 0
207: 792 0 0
208: 791 0 0
209: 790 0 0
210: 789 0 0
211: 788 0 0
212: 787 0 0
213: 786 0 0
214: 785 0 0
215: 784 0 0
216: 783 0 0
217: 782 0 0
218: 781 0 0
219: 780 0 0
220: 779 0 0
221: 778 0 0
222: 777 0 0
223: 776 0 0
224: 775 0 0
225: 774 0 0
226: 773 0 0
227: 772 0 0
228: 771 0 0
229: 770 0 0
230: 769 0 0
231: 768 0 0
232: 767 0 0
233: 766 0 0
234: 765 0 0
235: 764 0 0
236: 763 0 0
237: 762 0 0
238: 761 0 0
239: 760 0 0
240: 759 0 0
241: 758 0 0
242: 757 0 0
243: 756 0 0
244: 755 0 0
245: 754 0 0
246: 753 0 0
247: 752 0 0
248: 751 0 0
249: 750 0 0
250: 749 0 0
251: 748 0 0
252: 747 0 0
253: 746 0 0
254: 745 0 0
255: 744 0 0
256: 743 0 0
257: 742 0 0
258: 741 0 0
259: 740 0 0
260: 739 0 0
261: 738 0 0
262: 737 0 0
263: 736 0 0
264: 735 0 0
265: 734 0 0
266: 733 0 0
267: 732 0 0
268: 731 0 0
269: 730 0 0
270: 729 0 0
271: 728 0 0
272: 727 0 0
273: 726 0 0
274: 725 0 0
275: 724 0 0
276: 723 0 0
277: 722 0 0
278: 721 0 0
279: 720 0 0
280: 719 0 0
281: 718 0 0
282: 717 0 0
283: 716 0 0
284: 715 0 0
285: 714 0 0
286: 713 0 0
287: 712 0 0
288: 711 0 0
289: 710 0 0
290: 709 0 0
291: 708 0 0
292: 707 0 0
293: 706 0 0
294: 705 0 0
295: 704 0 0
296: 703 0 0
297: 702 0 0
298: 701 0 0
299: 700 0 0
300: 699 0 0
301: 698 0 0
302: 697 0 0
303: 696 0 0
304: 695 0 0
305: 694 0 0
306: 693 0 0
307: 692 0 0
308: 691 0 0
309: 690 0 0
310: 689 0 0
311: 688 0 0
312: 687 0 0
313: 686 0 0
314: 685 0 0
315: 684 0 0
316: 683 0 0
317: 682 0 0
318: 681 0 0
319: 680 0 0
320: 679 0 0
321: 678 0 0
322: 677 0 0
323: 676 0 0
324: 675 0 0
325: 674 0 0
326: 673 0 0
327: 672 0 0
328: 671 0 0
329: 670 0 0
330: 669 0 0
331: 668 0 0
332: 667 0 0
333: 666 0 0
334: 665 0 0
335: 664 0 0
336: 663 0 0
337: 662 0 0
338: 661 0 0
339: 660 0 0
340: 659 0 0
341: 658 0 0
342: 657 0 0
343: 656 0 0
344: 655 0 0
345: 654 0 0
346: 653 0 0
347: 652 0 0
348: 651 0 0
349: 650 0 0
350: 649 0 0
351: 648 0 0
352: 647 0 0
353: 646 0 0
354: 645 0 0
355: 644 0 0
356: 643 0 0
357: 642 0 0
358: 641 0 0
359: 640 0 0
360: 639 0 0
361: 638 0 0
362: 637 0 0
363: 636 0 0
364: 635 0 0
365: 634 0 0
366: 633 0 0
367: 632 0 0
368: 631 0 0
369: 630 0 0
370: 629 0 0
371: 628 0 0
372: 627 0 0
373: 626 0 0
374: 625 0 0
375: 624 0 0
376: 623 0 0
377: 622 0 0
378: 621 0 0
379: 620 0 0
380: 619 0 0
381: 618 0 0
382: 617 0 0
383: 616 0 0
384: 615 0 0
385: 614 0 0
386: 613 0 0
387: 612 0 0
388: 611 0 0
389: 610 0 0
390: 609 0 0
391: 608 0 0
392: 607 0 0
393: 606 0 0
394: 605 0 0
395: 604 0 0
396: 603 0 0
397: 602 0 0
398: 601 0 0
399: 600 0 0
400: 599 0 0
401: 598 0 0
402: 597 0 0
403: 596 0 0
404: 595 0 0
405: 594 0 0
406: 593 0 0
407: 592 0 0
408: 591 0 0
409: 590 0 0
410: 589 0 0
411: 588 0 0
412: 587 0 0
413: 586 0 0
414: 585 0 0
415: 584 0 0
416: 583 0 0
417: 582 0 0
418: 581 0 0
419: 580 0 0
420: 579 0 0
421: 578 0 0
422: 577 0 0
423: 576 0 0
424: 575 0 0
425: 574 0 0
426: 573 0 0
427: 572 0 0
428: 571 0 0
429: 570 0 0
430: 569 0 0
431: 568 0 0
432: 567 0 0
433: 566 0 0
434: 565 0 0
435: 564 0 0
436: 563 0 0
437: 562 0 0
438: 561 0 0
439: 560 0 0
440: 559 0 0
441: 558 0 0
442: 557 0 0
443: 556 0 0
444: 555 0 0
445: 554 0 0
446: 553 0 0
447: 552 0 0
448: 551 0 0
449: 550 0 0
450: 549 0 0
451: 548 0 0
452: 547 0 0
453: 546 0 0
454: 545 0 0
455: 544 0 0
456: 543 0 0
457: 542 0 0
458: 541 0 0
459: 540 0 0
460: 539 0 0
461: 538 0 0
462: 537 0 0
463: 536 0 0
464: 535 0 0
465: 534 0 0
466: 533 0 0
467: 532 0 0
468: 531 0 0
469: 530 0 0
470: 529 0 0
471: 528 0 0
472: 527 0 0
473: 526 0 0
474: 525 0 0
475: 524 0 0
476: 523 0 0
477: 522 0 0
478: 521 0 0
479: 520 0 0
480: 519 0 0
481: 518 0 0
482: 517 0 0
483: 516 0 0
484: 515 0 0
485: 514 0 0
486: 513 0 0
487: 512 0 0
488: 511 0 0
489: 510 0 0
490: 509 0 0
491: 508 0 0
492: 507 0 0
493: 506 0 0
494: 505 0 0
495: 504 0 0
496: 503 0 0
497: 502 0 0
498: 501 0 0
499: 500 0 0
500: 499 0 0
501: 498 0 0
502: 497 0 0
503: 496 0 0
504: 495 0 0
505: 494 0 0
506: 493 0 0
507: 492 0 0
508: 491 0 0
509: 490 0 0
510: 489 0 0
511: 488 0 0
512: 487 0 0
513: 486 0 0
514: 485 0 0
515: 484 0 0
516: 483 0 0
517: 482 0 0
518: 481 0 0
519: 480 0 0
520: 479 0 0
521: 478 0 0
522: 477 0 0
523: 476 0 0
524: 475 0 0
